,Date,Daily Brokerage,Signals
205,2019-11-05,140,"beginx, squareoff, hold, sell"
206,2019-11-06,140,"beginx, squareoff, hold, buy"
207,2019-11-07,140,"beginx, squareoff, hold, buy"
208,2019-11-08,140,"beginx, hold, hard-squareoff, buy"
209,2019-11-11,80,"beginx, hold, squareoff"
210,2019-11-13,220,"beginx, squareoff, hold, sell"
211,2019-11-14,140,"beginx, squareoff, hold, buy"
212,2019-11-15,140,"beginx, squareoff, hold, buy"
213,2019-11-18,140,"beginx, squareoff, hold, sell"
214,2019-11-19,80,"beginx, hold, squareoff"
215,2019-11-20,80,"beginx, hold, squareoff"
216,2019-11-21,140,"beginx, squareoff, hold, sell"
217,2019-11-22,80,"beginx, hold, squareoff"
218,2019-11-25,80,"beginx, hold, squareoff"
219,2019-11-26,80,"beginx, hold, squareoff"
220,2019-11-27,140,"beginx, squareoff, hold, buy"
221,2019-11-28,80,"beginx, hold, squareoff"
222,2019-11-29,80,"beginx, hold, squareoff"
223,2019-12-02,140,"beginx, squareoff, hold, sell"
224,2019-12-03,80,"beginx, hold, squareoff"
225,2019-12-04,140,"beginx, hold, hard-squareoff, sell"
226,2019-12-05,140,"beginx, hold, hard-squareoff, buy"
227,2019-12-06,220,"beginx, squareoff, hold, sell"
228,2019-12-09,80,"beginx, hold, squareoff"
229,2019-12-10,220,"beginx, squareoff, hold, sell"
230,2019-12-11,140,"beginx, squareoff, hold, sell"
231,2019-12-12,220,"beginx, squareoff, hold, buy"
232,2019-12-13,80,"beginx, hold, squareoff"
233,2019-12-16,80,"beginx, hold, squareoff"
234,2019-12-17,80,"beginx, hold, squareoff"
235,2019-12-18,80,"beginx, hold, squareoff"
236,2019-12-19,80,"beginx, hold, squareoff"
237,2019-12-20,140,"beginx, squareoff, hold, buy"
238,2019-12-23,140,"beginx, squareoff, hold, sell"
239,2019-12-24,140,"beginx, squareoff, hold, sell"
240,2019-12-26,80,"beginx, hold, squareoff"
241,2019-12-27,140,"beginx, squareoff, hold, buy"
242,2019-12-30,80,"beginx, hold, squareoff"
243,2019-12-31,140,"beginx, squareoff, hold, sell"
244,2020-01-01,80,"beginx, hold, squareoff"
245,2020-01-02,80,"beginx, hold, squareoff"
246,2020-01-03,80,"beginx, hold, squareoff"
247,2020-01-06,80,"beginx, hold, squareoff"
248,2020-01-07,80,"beginx, hold, squareoff"
249,2020-01-08,80,"beginx, hold, squareoff"
250,2020-01-09,80,"beginx, hold, squareoff"
251,2020-01-10,80,"beginx, hold, squareoff"
252,2020-01-13,140,"beginx, squareoff, hold, buy"
253,2020-01-14,140,"beginx, squareoff, hold, buy"
254,2020-01-15,80,"beginx, hold, squareoff"
255,2020-01-16,80,"beginx, hold, squareoff"
256,2020-01-17,80,"beginx, hold, squareoff"
257,2020-01-20,80,"beginx, hold, squareoff"
258,2020-01-21,140,"beginx, squareoff, hold, sell"
259,2020-01-22,80,"beginx, hold, squareoff"
260,2020-01-23,140,"beginx, squareoff, hold, buy"
261,2020-01-24,80,"beginx, hold, squareoff"
262,2020-01-27,220,"beginx, squareoff, hold, sell"
263,2020-01-28,220,"beginx, squareoff, hold, sell"
264,2020-01-29,80,"beginx, hold, squareoff"
265,2020-01-30,220,"beginx, squareoff, hold, sell"
266,2020-01-31,140,"beginx, squareoff, hold, sell"
267,2020-02-01,220,"beginx, squareoff, hold, sell"
268,2020-02-03,140,"beginx, squareoff, hold, sell"
269,2020-02-04,80,"beginx, hold, squareoff"
270,2020-02-05,80,"beginx, hold, squareoff"
271,2020-02-06,80,"beginx, hold, squareoff"
272,2020-02-07,140,"beginx, squareoff, hold, sell"
273,2020-02-10,140,"beginx, squareoff, hold, sell"
